rf,modulo,descricao,tipo_cobertura,arquivos_teste,referencia_manual,alvo_r1_06,observacao
RF1,Autenticacao e autorizacao,Autenticar e encerrar sessao de usuarios,automatizado,"tests/Feature/Auth/AdminLoginTest.php;tests/Feature/Auth/AuthenticationTest.php;tests/Feature/Auth/EmailVerificationTest.php;tests/Feature/Auth/PasswordConfirmationTest.php;tests/Feature/Auth/PasswordResetTest.php;tests/Feature/Auth/PasswordUpdateTest.php;tests/Feature/Auth/ProfessorLoginTest.php;tests/Feature/Auth/RegistrationTest.php",,nao,9 classes / 22 testes; inclui fluxos auxiliares Breeze (email-verify; password-reset; password-update; password-confirm; auto-registro)
RF2,Autenticacao e autorizacao,Aplicar RBAC por rota e perfil,automatizado,"tests/Feature/Auth/RoleAccessTest.php;tests/Feature/Auth/ProfessorLoginTest.php;tests/Feature/ScoringConfigTest.php;tests/Feature/UserManagementTest.php",,nao,Coberto por 4 classes; inclui bloqueio de conta inativa + 403 cross-perfil em modulos sensiveis
RF3,Cadastros,"Listar; criar e desativar professores",automatizado,tests/Feature/UserManagementTest.php,,nao,Soft-delete via active=false; valida unicidade de email e RBAC
RF4,Cadastros,"Cadastro; edicao e (des)ativacao de turmas",manual,,E01,nao,Limitacao documentada; rota /admin/turmas (resource); populada via JicopaPlanilhasSeeder
RF5,Cadastros,Gerenciar categorias de idade (Mirim/Infantil/Juvenil),manual,,E02,nao,Limitacao documentada; rota /admin/categorias (resource); cadastro manual na tela
RF6,Cadastros,Catalogo de esportes coletivo/individual,manual,,E03,nao,Limitacao documentada; rota /admin/esportes (resource); populada via JicopaPlanilhasSeeder
RF7,Cadastros,Cadastro de alunos com vinculo a turma e selecao de esportes,manual,,E04,nao,Limitacao documentada; rota /admin/alunos (resource); populada via JicopaPlanilhasSeeder (nao-idempotente)
RF8,Calendario e gestao de jogos,Visualizar partidas por data/horario/local,automatizado,tests/Feature/JogoManagementTest.php,,sim,R1-06 entregue; listagem + filtros (data; categoria; esporte; cancelado)
RF9,Calendario e gestao de jogos,CRUD de jogos com deteccao de conflito de horario,automatizado,tests/Feature/JogoManagementTest.php,,sim,R1-06 entregue; CRUD + rejeicao de data passada + deteccao de conflito por sobreposicao de 1 h + force_create; revelou bug `where('data',$data)` corrigido para `whereDate`
RF10,Execucao de jogos,Registro de presenca com formulario adaptativo,automatizado,tests/Feature/PresencaTest.php,,sim,R1-06 entregue; atletas esperados (coletivo via dois times; individual via turmas da categoria) + idempotencia
RF11,Execucao de jogos,Placar de jogo coletivo com inferencia vitoria/empate,automatizado,tests/Feature/ResultadoTest.php,,sim,R1-06 entregue; placar + inferencia vencedor/empate/derrota + validacao
RF12,Execucao de jogos,Resultado de jogo individual (posicao final por atleta),automatizado,tests/Feature/ResultadoTest.php,,sim,R1-06 entregue; transacao substitui registros anteriores; edicao filtra atletas presentes
RF13,Execucao de jogos,Aplicacao de penalidade a turma ou aluno,automatizado,tests/Feature/PenalidadeTest.php,,sim,R1-06 entregue; tipo turma/aluno + protecao do registrado_por contra spoofing
RF14,Pontuacao e ranking,Configuracao global de pontos por vitoria/empate/extra,automatizado,tests/Feature/ScoringConfigTest.php,,nao,View + update + validacao (rejeita zero e negativo) + RBAC
RF15,Pontuacao e ranking,Avaliacao subjetiva de bandeira de turma,manual,,E11,nao,Limitacao documentada; rotas /admin/avaliacao-config e /admin/avaliacao-notas
RF16,Pontuacao e ranking,Avaliacao subjetiva de grito de guerra,manual,,E12,nao,Limitacao documentada; rotas /admin/avaliacao-config e /admin/avaliacao-notas
RF17,Pontuacao e ranking,Ranqueamento em tempo proximo ao real (polling 10s),automatizado,tests/Feature/RankingTest.php,,sim,R1-06 entregue; consolidacao vit+emp+individual+penalidades; ordenacao por total e saldo de gols; categoria default; lastUpdated em ISO 8601
RF18,Painel e auditoria,Painel gerencial (dashboard) consolidado pos-login,manual,,E14,nao,Limitacao documentada; rota /dashboard; visoes diferenciadas Admin x Professor
RF19,Painel e auditoria,Historico de auditoria via spatie/laravel-activitylog,manual,,E15,nao,Limitacao documentada; rota /admin/historico; indicio parcial em UserManagementTest::test_admin_can_deactivate_professor (soft-delete preserva registro)
RF20,Relatorios PDF,Sumula do jogo em PDF,automatizado,tests/Feature/PdfReportsTest.php,,sim,R1-06 entregue; download PDF + bloqueio se cancelado + RBAC
RF21,Relatorios PDF,Boletim de desempenho da turma,automatizado,tests/Feature/PdfReportsTest.php,,sim,R1-06 entregue; download PDF + exigencia de categoria_id
RF22,Relatorios PDF,Relatorio geral consolidado todas categorias,automatizado,tests/Feature/PdfReportsTest.php,,sim,R1-06 entregue; download PDF + funciona em base vazia
RF23,Relatorios PDF,Relatorio por categoria (ranking + jogos + historico),automatizado,tests/Feature/PdfReportsTest.php,,sim,R1-06 entregue; download PDF com secao de penalidades por categoria
